from_id,to_id,ordering,category
nm5455261,tt2613068,5,actor
nm5246984,tt2749034,7,actor
nm6796960,tt3948764,2,actor
nm4015689,tt2882328,5,actress
nm18327659,tt13715830,6,actor
nm0757298,tt1452538,6,actress
nm1285187,tt0437241,10,actor
nm0142248,tt0254969,8,actor
nm9990022,tt10938522,2,actress
nm8976564,tt26693963,5,actress
nm0106387,tt0318349,1,actor
nm6168401,tt3418604,7,actor
nm8918470,tt8110814,7,actress
nm1997437,tt3322072,4,actress
nm0109547,tt0469107,5,actress
nm13209667,tt39319771,4,actress
nm0621560,tt11081206,1,actor
nm0766470,tt13915036,3,actor
nm7762330,tt5240178,9,actress
nm1149321,tt0250550,2,actor
nm0890038,tt0050428,9,actress
nm2675474,tt1431111,1,actor
nm0058496,tt0178999,2,actor
nm16480123,tt33306263,6,actor
nm3244362,tt2190364,3,actress
nm0817620,tt2353861,1,actor
nm3406338,tt0258614,1,actor
nm0361676,tt35620161,4,actor
nm0147814,tt1629762,5,actor
nm0430772,tt0311607,7,actor
nm0245356,tt0086541,4,actor
nm5011198,tt9910102,7,actress
nm1367313,tt16979270,4,actor
nm13545715,tt21189500,7,actress
nm13108317,tt32903395,3,actor
nm1422741,tt9160406,8,actor
nm3173013,tt0204504,6,actress
nm1879944,tt0454190,9,actor
nm0256395,tt0262222,8,actor
nm0684143,tt0193637,1,actor
nm2671390,tt5327016,1,actor
nm11479832,tt30027789,5,actor
nm6913012,tt14093112,5,actress
nm18575255,tt1913060,7,actress
nm14593580,tt28702468,2,actress
nm0408474,tt0253260,8,actress
nm6791789,tt3973612,3,actor
nm1971316,tt0491031,1,actor
nm0620131,tt0375197,4,actor
nm4415613,tt1821334,4,actress
nm7925166,tt36574560,3,actor
nm7874429,tt5368630,8,actor
nm0395947,tt3610308,7,actress
nm0521919,tt0016044,3,actor
nm3097216,tt39910246,3,actor
nm1923980,tt1144812,2,actress
nm10435387,tt9679418,2,actor
nm12952867,tt15464654,1,actor
nm0049055,tt0020030,8,actor
nm10659156,tt19783642,10,actor
nm0968532,tt38809417,5,actress
nm2645304,tt1929410,4,actress
nm1758878,tt27727572,3,actor
nm0731507,tt0047879,8,actor
nm0441015,tt0254109,5,actress
nm3183257,tt1226736,1,actor
nm3139179,tt2323657,1,actor
nm0081175,tt0208554,2,actor
nm0479161,tt0018933,6,actress
nm1382700,tt0818534,3,actor
nm1295234,tt1072657,3,actor
nm0249982,tt0135996,2,actor
nm1181298,tt0319206,7,actress
nm0029553,tt0122902,6,actress
nm1747686,tt39184001,4,actor
nm0644992,tt15220232,4,actor
nm2112548,tt0359161,5,actress
nm7974263,tt11316854,7,actress
nm5093499,tt2975776,2,actress
nm7856853,tt5348132,8,actress
nm0002069,tt0057523,6,actress
nm5181659,tt7070848,7,actor
nm18289221,tt40529152,6,actor
nm0524417,tt0277255,3,actor
nm1125787,tt1364240,3,actor
nm0097873,tt1548612,5,actor
nm5631849,tt15555052,8,actor
nm1104954,tt0476967,4,actress
nm3165902,tt10223546,10,actress
nm0080445,tt0105166,2,actor
nm0883014,tt0214073,6,actor
nm8883483,tt1623702,6,actor
nm0588614,tt0053366,3,actress
nm0501399,tt0374102,8,actor
nm5726603,tt4882674,8,actress
nm0608324,tt0756710,6,actor
nm0363235,tt0026951,5,actor
nm5741813,tt24021742,3,actor
nm0727797,tt0185589,8,actress
nm0215902,tt1460015,9,actor
nm0380213,tt0289472,6,actress
nm0581067,tt0151892,5,actress
nm1060344,tt10173122,2,actor
nm0382902,tt0058548,2,actor
nm0556953,tt0184014,2,actress
nm0419685,tt0371982,2,actress
nm1080916,tt35233276,7,actor
nm4101448,tt1732569,6,actress
nm3568571,tt8088824,1,actor
nm0771696,tt0040525,7,actor
nm3333237,tt1186025,1,actress
nm0788899,tt0212834,10,actor
nm0052075,tt0495677,9,actor
nm3202886,tt5321062,3,actor
nm3497415,tt2363532,7,actress
nm0240108,tt0157421,5,actor
nm1071620,tt0191855,10,actress
nm0797631,tt0339482,3,actress
nm12596843,tt32476319,6,actress
nm3979831,tt2734868,1,actress
nm2371023,tt4625646,4,actor
nm2360448,tt8364092,5,actor
nm0707367,tt33998993,2,actress
nm0224325,tt0188071,6,actor
nm13015866,tt39305179,2,actress
nm0195031,tt0337089,3,actress
nm0066223,tt4694868,2,actor
nm1220910,tt0347138,9,actor
nm0037793,tt0052739,5,actress
nm0001520,tt31179962,9,actor
nm12982214,tt36472726,9,actor
nm0330050,tt0078087,9,actor
nm0300595,tt0081787,9,actor
nm9296768,tt8228290,10,actor
nm0505249,tt0067801,9,actor
nm10948327,tt8853410,7,actress
nm0843294,tt0195356,4,actress
nm1181969,tt0383725,1,actor
nm0260304,tt0371939,8,actress
nm1533682,tt0184620,8,actor
nm0491402,tt0892782,6,actor
nm3604891,tt1733536,6,actress
nm5940347,tt2936222,3,actor
nm0182508,tt0062742,5,actor
nm0481428,tt0200950,6,actor
nm6371946,tt3610068,8,actor
nm0148077,tt2150674,5,actress
nm11987511,tt13268580,1,actress
nm0450116,tt0089683,4,actor
nm13166264,tt0193180,1,actress
nm0002024,tt0031842,5,actor
nm3121518,tt2016168,4,actor
nm0048468,tt0058099,4,actor
nm1862038,tt0342984,1,actor
nm0157304,tt2153616,1,actor
nm0158101,tt1244681,1,actor
nm0518456,tt0038779,4,actor
nm8994462,tt6891660,5,actor
nm0728158,tt0051238,10,actor
nm0001012,tt1615840,1,actress
nm1422991,tt1687231,4,actress
nm7855778,tt5331940,8,actress
nm0857150,tt1462666,5,actor
nm0369818,tt0079915,5,actor
nm0464677,tt0288326,8,actor
nm1047600,tt5372740,4,actor
nm0244660,tt0082022,8,actor
nm0694986,tt0444849,4,actor
nm1799938,tt8562576,1,actress
nm8706572,tt32505040,3,actress
nm0594244,tt0202447,6,actress
nm9318612,tt3598130,9,actor
nm0399479,tt0205755,3,actor
nm0845609,tt0385183,10,actor
nm1730935,tt5783956,10,actor
nm10042944,tt32792395,10,actor
nm1009045,tt0288115,5,actor
nm0453467,tt0403692,4,actress
nm4985059,tt2319997,4,actor
nm0531996,tt5326520,8,actress
nm2372047,tt8703174,5,actor
nm0160803,tt0109598,3,actress
nm6784658,tt5920406,5,actor
nm1807014,tt0898098,7,actor
nm0092977,tt0235800,6,actor
nm10831502,tt0095207,2,actor
nm0723865,tt14219692,4,actress
nm0847654,tt19894512,7,actress
nm0006982,tt0229982,2,actor
nm0415659,tt30330340,6,actor
nm3996351,tt1696211,5,actor
nm2305590,tt1512276,1,actor
nm0696163,tt0047113,1,actress
nm0213403,tt0191112,10,actor
nm0562041,tt0328886,6,actress
nm3273765,tt0228362,7,actor
nm7699673,tt5166168,1,actor
nm2375967,tt21624368,1,actress
nm1488730,tt2780192,5,actor
nm0895715,tt0053105,7,actor
nm0865302,tt3058674,2,actor
nm3897605,tt6387506,5,actress
nm0656865,tt0269456,6,actor
nm10591673,tt10121250,3,actor
nm0001336,tt0040141,2,actor
nm5692277,tt5838760,2,actress
nm9647477,tt11122106,10,actor
nm17895205,tt19472492,4,actress
nm0002768,tt0025893,6,actress
nm3434841,tt1427244,9,actress
nm0682834,tt0061851,5,actress
nm6409976,tt9741498,1,actor
nm5200206,tt12974838,5,actor
nm0879918,tt26231914,8,actor
nm1420051,tt0049488,5,actor
nm16341614,tt32898064,3,actress
nm2777924,tt0791540,5,actor
nm1468033,tt38875798,8,actor
nm6262100,tt28650826,5,actor
nm2860033,tt2184219,10,actress
nm11370896,tt11897074,1,actor
nm0103794,tt28118695,2,actor
nm1229940,tt5956100,3,actress
nm1196921,tt1410210,7,actress
nm5860615,tt3102964,2,actor
nm0822354,tt1348318,5,actor
nm0729977,tt0055588,5,actor
nm6334521,tt4439178,7,actor
nm1231282,tt1748192,6,actor
nm0347236,tt0348650,10,actor
nm2255680,tt2379653,4,actor
nm14964033,tt28131935,7,actor
nm0266528,tt2442248,3,actor
nm8969764,tt15877032,2,actress
nm0166025,tt0206754,5,actor
nm0347218,tt0097107,7,actor
nm1113380,tt0371589,10,actress
nm0226770,tt3916772,1,actor
nm9532727,tt10431512,3,actor
nm7662748,tt5125718,2,actress
nm0015864,tt32915467,7,actor
nm0419655,tt21810110,9,actress
nm0263758,tt1794870,5,actress
nm1867915,tt12616964,7,actor
nm9084193,tt21796782,10,actor
nm0001600,tt4308134,1,actor
nm0897002,tt0033602,8,actor
nm0796762,tt0030932,8,actor
nm0157805,tt0098666,4,actress
nm0003062,tt0024561,3,actor
nm4291230,tt1828965,2,actor
nm0515584,tt1247696,4,actor
nm0470818,tt0412888,3,actor
nm13879991,tt40320445,8,actress
nm3095964,tt1272492,5,actress
nm0902702,tt0054789,4,actor
nm5551688,tt11554404,9,actor
nm0875275,tt0117760,5,actor
nm5416854,tt3894958,3,actor
nm0233713,tt0296839,10,actor
nm3798006,tt1598732,2,actor
nm0940164,tt0063513,8,actor
nm0762489,tt0028673,8,actor
nm0609403,tt0798443,1,actor
nm0005049,tt2170299,3,actress
nm0042820,tt0252499,6,actress
nm1548832,tt0215334,9,actress
nm18175141,tt41086423,2,actor
nm1930169,tt0415183,8,actor
nm4915619,tt37368278,1,actor
nm12093985,tt15613698,6,actress
nm7434526,tt28477323,1,actress
nm3848383,tt3259324,8,actress
nm0895279,tt0253989,5,actor
nm15814315,tt31174174,7,actor
nm0443483,tt0488422,6,actor
nm0837420,tt0328418,2,actor
nm0341565,tt0219347,7,actress
nm0147167,tt1841653,3,actor
nm0310290,tt0112961,8,actress
nm3506726,tt1169809,9,actor
nm8745684,tt8458064,5,actor
nm0001606,tt0337717,4,actor
nm2865186,tt1156394,6,actor
nm0619374,tt0101821,3,actor
nm2494973,tt0347989,8,actress
nm11562093,tt12264546,4,actor
nm5143554,tt2251820,7,actress
nm4514363,tt14474554,2,actor
nm9136764,tt6296802,10,actor
nm2877165,tt0159559,8,actress
nm7081588,tt4565586,6,actress
nm16162879,tt32422620,3,actor
nm0508591,tt0079509,5,actor
nm17172931,tt36386555,9,actor
nm0167938,tt0099558,5,actress
nm2908028,tt16996946,9,actress
nm0490937,tt0057223,10,actor
nm0234809,tt0161209,8,actor
nm0223563,tt0096139,8,actress
nm11919001,tt13142638,10,actress
nm4161525,tt1765978,7,actor
nm5713771,tt4998772,2,actor
nm0935653,tt1226273,2,actor
nm4621173,tt7549718,7,actress
nm5276578,tt4413248,7,actor
nm0268422,tt0008269,9,actress
nm8219169,tt7785302,7,actress
nm7667087,tt6127252,8,actress
nm0428736,tt0017117,10,actress
