person_id,name,birth_year
nm0000001,Fred Astaire,1899
nm0000002,Lauren Bacall,1924
nm0000009,Richard Burton,1925
nm0000010,James Cagney,1899
nm0000011,Gary Cooper,1901
nm0000012,Bette Davis,1908
nm0000014,Olivia de Havilland,1916
nm0000018,Kirk Douglas,1916
nm0000020,Henry Fonda,1905
nm0000021,Joan Fontaine,1917
nm0000022,Clark Gable,1901
nm0000023,Judy Garland,1922
nm0000024,John Gielgud,1904
nm0000026,Cary Grant,1904
nm0000028,Rita Hayworth,1918
nm0000030,Audrey Hepburn,1929
nm0000032,Charlton Heston,1923
nm0000034,William Holden,1918
nm0000043,Veronica Lake,1922
nm0000044,Burt Lancaster,1913
nm0000045,Bruce Lee,1940
nm0000046,Vivien Leigh,1913
nm0000047,Sophia Loren,1934
nm0000048,Peter Lorre,1904
nm0000049,Henry Mancini,1924
nm0000050,Groucho Marx,1890
nm0000051,James Mason,1909
nm0000052,Marcello Mastroianni,1924
nm0000053,Robert Mitchum,1917
nm0000054,Marilyn Monroe,1926
nm0000056,Paul Newman,1925
nm0000057,David Niven,1910
nm0000058,Maureen O'Hara,1920
nm0000059,Laurence Olivier,1907
nm0000061,Tyrone Power,1914
nm0000062,Elvis Presley,1935
nm0000063,Anthony Quinn,1915
nm0000064,Edward G. Robinson,1893
nm0000066,Jane Russell,1921
nm0000068,Randolph Scott,1898
nm0000069,Frank Sinatra,1915
nm0000072,Elizabeth Taylor,1932
nm0000073,Shirley Temple,1928
nm0000075,Spencer Tracy,1900
nm0000078,John Wayne,1907
nm0000079,Raquel Welch,1940
nm0000080,Orson Welles,1915
nm0000081,Natalie Wood,1938
nm0000084,Gong Li,1965
nm0000087,Elena Koreneva,1953
nm0000089,Richard Paul,1940
nm0000090,Armin Mueller-Stahl,1930
nm0000092,John Cleese,1939
nm0000093,Brad Pitt,1963
nm0000095,Woody Allen,1935
nm0000099,Patricia Arquette,1968
nm0000100,Rowan Atkinson,1955
nm0000101,Dan Aykroyd,1952
nm0000102,Kevin Bacon,1958
nm0000104,Antonio Banderas,1960
nm0000105,Adrienne Barbeau,1945
nm0000106,Drew Barrymore,1975
nm0000110,Kenneth Branagh,1960
nm0000113,Sandra Bullock,1964
nm0000114,Steve Buscemi,1957
nm0000115,Nicolas Cage,1964
nm0000117,Neve Campbell,1973
nm0000120,Jim Carrey,1962
nm0000123,George Clooney,1961
nm0000124,Jennifer Connelly,1970
nm0000125,Sean Connery,1930
nm0000130,Jamie Lee Curtis,1958
nm0000131,John Cusack,1966
nm0000132,Claire Danes,1979
nm0000133,Geena Davis,1956
nm0000134,Robert De Niro,1943
nm0000136,Johnny Depp,1963
nm0000138,Leonardo DiCaprio,1974
nm0000139,Cameron Diaz,1972
nm0000141,David Duchovny,1960
nm0000142,Clint Eastwood,1930
nm0000143,Erika Eleniak,1969
nm0000144,Cary Elwes,1962
nm0000146,Ralph Fiennes,1962
nm0000147,Colin Firth,1960
nm0000148,Harrison Ford,1942
nm0000149,Jodie Foster,1962
nm0000150,Michael J. Fox,1961
nm0000152,Richard Gere,1949
nm0000155,Whoopi Goldberg,1955
nm0000156,Jeff Goldblum,1952
nm0000158,Tom Hanks,1956
nm0000159,Teri Hatcher,1964
nm0000160,Ethan Hawke,1970
nm0000161,Salma Hayek,1966
nm0000163,Dustin Hoffman,1937
nm0000164,Anthony Hopkins,1937
nm0000166,Helen Hunt,1963
nm0000168,Samuel L. Jackson,1948
nm0000169,Tommy Lee Jones,1946
nm0000170,Milla Jovovich,1975
nm0000171,Ashley Judd,1968
nm0000172,Harvey Keitel,1939
nm0000173,Nicole Kidman,1967
nm0000174,Val Kilmer,1959
nm0000176,Nastassja Kinski,1961
nm0000177,Kevin Kline,1947
nm0000179,Jude Law,1972
nm0000182,Jennifer Lopez,1969
nm0000183,Traci Lords,1968
nm0000185,Dolph Lundgren,1957
nm0000190,Matthew McConaughey,1969
nm0000192,Alyssa Milano,1972
nm0000194,Julianne Moore,1960
nm0000195,Bill Murray,1950
nm0000196,Mike Myers,1963
nm0000197,Jack Nicholson,1937
nm0000199,Al Pacino,1940
nm0000200,Bill Paxton,1955
nm0000201,Michelle Pfeiffer,1958
nm0000202,Ryan Phillippe,1974
nm0000204,Natalie Portman,1981
nm0000205,Parker Posey,1968
nm0000206,Keanu Reeves,1964
nm0000207,Christina Ricci,1980
nm0000208,Molly Ringwald,1968
nm0000209,Tim Robbins,1958
nm0000210,Julia Roberts,1967
nm0000211,Mimi Rogers,1956
nm0000215,Susan Sarandon,1946
nm0000218,Kristin Scott Thomas,1960
nm0000219,Steven Seagal,1952
nm0000220,Joan Severance,1958
nm0000221,Charlie Sheen,1965
nm0000222,Brooke Shields,1965
nm0000225,Christian Slater,1969
nm0000228,Kevin Spacey,1959
nm0000230,Sylvester Stallone,1946
nm0000231,Oliver Stone,1946
nm0000232,Sharon Stone,1958
nm0000234,Charlize Theron,1975
nm0000237,John Travolta,1954
nm0000238,Shannon Tweed,1957
nm0000239,Liv Tyler,1977
nm0000240,Skeet Ulrich,1970
nm0000242,Mark Wahlberg,1971
nm0000243,Denzel Washington,1954
nm0000244,Sigourney Weaver,1949
nm0000245,Robin Williams,1951
nm0000246,Bruce Willis,1955
nm0000247,John Woo,1946
nm0000248,Edward D. Wood Jr.,1924
nm0000250,Renée Zellweger,1969
nm0000252,Robert Ellis,1892
nm0000254,Isabelle Adjani,1955
nm0000255,Ben Affleck,1972
nm0000256,Jenny Agutter,1952
nm0000257,Alan Alda,1936
nm0000259,Ginger Lynn,1962
nm0000260,Joan Allen,1956
nm0000261,Karen Allen,1951
nm0000271,Anne Archer,1947
nm0000272,Fanny Ardant,1949
nm0000273,Alan Arkin,1934
nm0000274,David Arquette,1971
nm0000275,Rosanna Arquette,1959
nm0000276,Sean Astin,1971
nm0000277,Richard Attenborough,1923
nm0000278,Pernilla August,1958
nm0000279,Hank Azaria,1964
nm0000282,Scott Bairstow,1970
nm0000283,Brenda Bakke,1963
nm0000284,Adam Baldwin,1962
nm0000286,Stephen Baldwin,1966
nm0000287,William Baldwin,1963
nm0000288,Christian Bale,1974
nm0000291,Angela Bassett,1958
nm0000292,Michelle Bauer,1958
nm0000293,Sean Bean,1959
nm0000295,Kate Beckinsale,1973
nm0000297,Tom Berenger,1949
nm0000298,Candice Bergen,1946
nm0000299,Michael Biehn,1956
nm0000300,Juliette Binoche,1964
nm0000301,Thora Birch,1982
nm0000302,Jacqueline Bisset,1944
nm0000306,Brian Blessed,1936
nm0000307,Helena Bonham Carter,1966
nm0000308,Ernest Borgnine,1917
nm0000311,Annie Rosar,1888
nm0000313,Jeff Bridges,1949
nm0000314,Charles Bronson,1921
nm0000315,Louise Brooks,1906
nm0000317,Clancy Brown,1959
nm0000319,Yancy Butler,1970
nm0000321,Gabriel Byrne,1950
nm0000323,Michael Caine,1933
nm0000324,Barbara Carrera,1945
nm0000325,David Caruso,1956
nm0000327,Lacey Chabert,1982
nm0000329,Jackie Chan,1954
nm0000332,Don Cheadle,1964
nm0000334,Chow Yun-Fat,1955
nm0000335,Glenn Close,1947
nm0000336,James Coburn,1928
nm0000337,Rachael Leigh Cook,1979
nm0000342,James Cromwell,1940
nm0000343,David Cronenberg,1943
nm0000346,Macaulay Culkin,1980
nm0000347,Tim Curry,1946
nm0000349,Joan Cusack,1962
nm0000350,Beverly D'Angelo,1951
nm0000353,Willem Dafoe,1955
nm0000356,Sybil Danning,0
nm0000362,Danny DeVito,1944
nm0000365,Julie Delpy,1969
nm0000366,Catherine Deneuve,1943
nm0000367,Gérard Depardieu,1948
nm0000369,Matt Dillon,1964
nm0000374,Brad Dourif,1950
nm0000375,Robert Downey Jr.,1965
nm0000376,Fran Drescher,1957
nm0000377,Richard Dreyfuss,1947
nm0000380,Robert Duvall,1931
nm0000387,Robert Englund,1947
nm0000393,Peter Falk,1927
nm0000396,Farrah Fawcett,1947
nm0000397,Corey Feldman,0
nm0000401,Laurence Fishburne,1961
nm0000402,Carrie Fisher,1956
nm0000403,Bridget Fonda,1964
nm0000404,Jane Fonda,1937
nm0000407,Vivica A. Fox,1964
nm0000409,Brendan Fraser,1968
nm0000412,Andy Garcia,1956
nm0000413,Janeane Garofalo,1964
nm0000414,Teri Garr,1944
nm0000416,Terry Gilliam,1940
nm0000417,Crispin Glover,0
nm0000418,Danny Glover,1946
nm0000420,Valeria Golino,1965
nm0000421,Cuba Gooding Jr.,1968
nm0000422,John Goodman,1952
nm0000423,Serena Grandi,1958
nm0000424,Hugh Grant,1960
nm0000430,Steve Guttenberg,1958
nm0000433,Corey Haim,1971
nm0000434,Mark Hamill,0
nm0000435,Daryl Hannah,1960
nm0000437,Woody Harrelson,1961
nm0000438,Ed Harris,1950
nm0000440,Nina Hartley,1959
nm0000442,Rutger Hauer,1944
nm0000444,Glenne Headly,1955
nm0000445,Dan Hedaya,1940
nm0000446,Mariel Hemingway,1961
nm0000448,Lance Henriksen,1940
nm0000449,Natasha Henstridge,1974
nm0000451,Gaby Hoffmann,1982
nm0000452,Lauren Holly,0
nm0000453,Ian Holm,1931
nm0000454,Dennis Hopper,1936
nm0000457,John Hurt,1940
nm0000459,Timothy Hutton,1960
nm0000461,Michael Ironside,1950
nm0000463,Famke Janssen,1964
nm0000464,Jim Jarmusch,1953
nm0000465,Ron Jeremy,1953
nm0000467,Don Johnson,1949
nm0000469,James Earl Jones,1931
nm0000470,Jeffrey Jones,1946
nm0000471,Raul Julia,1940
nm0000472,Boris Karloff,1887
nm0000473,Diane Keaton,1946
nm0000475,Patsy Kensit,1968
nm0000476,Sally Kirkland,1941
nm0000480,Elias Koteas,1961
nm0000482,Sylvia Kristel,1952
nm0000483,Christopher Lambert,1957
nm0000489,Christopher Lee,1922
nm0000491,John Leguizamo,1960
